id,time,type,building,address,area,price,floor,county
201,2023/11/12,分租套房,無電梯公寓,新北市三峽區復興路,6坪,8000,3 / 5,三峽區
202,2023/11/11,整層住家,電梯大樓,新北市新莊區昌隆街,26坪,26000,2 / 7,新莊區
203,2023/11/10,分租套房,無電梯公寓,新北市樹林區龍興街,7坪,5500,3 / 4,樹林區
204,2023/11/10,整層住家,電梯大樓,新北市三重區五華街,45坪,37000,6 / 7,三重區
205,2023/11/10,辦公,電梯大樓,新北市三重區光復路一段,511坪,459900,5 / 15,三重區
206,2023/11/10,廠辦,,新北市三重區光復路一段,511坪,459900,5 / ,三重區
207,2023/11/10,辦公,電梯大樓,新北市淡水區民權路,47坪,28000,5 / 5,淡水區
208,2023/11/10,辦公,電梯大樓,新北市淡水區民權路,47坪,28000,5 / 5,淡水區
209,2023/11/10,廠辦,,新北市淡水區民權路,47坪,29500,5 / ,淡水區
210,2023/11/09,廠辦,,新北市中和區立德街,55坪,45000,1 / ,中和區
211,2023/11/09,整層住家,電梯大樓,新北市板橋區文化路二段,49.35坪,53000,8 / 13,板橋區
212,2023/11/08,整層住家,無電梯公寓,新北市新店區永華街,35坪,18000,2 / 4,新店區
213,2023/11/07,整層住家,電梯大樓,新北市淡水區新市五路三段,22坪,23500,6 / 26,淡水區
214,2023/11/07,整層住家,電梯大樓,新北市樹林區大義路,17.92坪,24000,13 / 19,樹林區
215,2023/11/07,整層住家,電梯大樓,新北市樹林區大義路,17.92坪,24000,13 / 19,樹林區
216,2023/11/07,整層住家,電梯大樓,新北市三峽區大學路,27.84坪,28800,7 / 12,三峽區
217,2023/11/07,辦公,電梯大樓,新北市永和區永和路二段,15坪,20000,9 / 14,永和區
218,2023/11/07,辦公,電梯大樓,新北市永和區永和路二段,15.5坪,19500,9 / 14,永和區
219,2023/11/07,分租套房,無電梯公寓,新北市中和區景新街,10坪,9500,4 / 5,中和區
220,2023/11/07,廠房,,新北市三重區光復路一段,110坪,130000,1 / 4,三重區
221,2023/11/07,辦公,電梯大樓,新北市永和區永和路二段,15.5坪,19500,9 / 14,永和區
222,2023/11/07,廠辦,,新北市三重區中正北路,45坪,42000,1 / ,三重區
223,2023/11/07,廠房,,新北市三重區中正北路,45坪,42000,1 / 4,三重區
224,2023/11/07,整層住家,電梯大樓,新北市深坑區阿柔洋,29.87坪,18000,2 / 4,深坑區
